place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike,1way_int_count_road,1way_int_prop_road,2way_int_count_road,2way_int_prop_road,3way_int_count_road,3way_int_prop_road,4way_int_count_road,4way_int_prop_road,5way_int_count_road,5way_int_prop_road,6way_int_count_road,6way_int_prop_road,7way_int_count_road,7way_int_prop_road,8way_int_count_road,8way_int_prop_road,circuity_avg_road,disconnected_components_road,edge_density_km_road,edge_length_avg_road,edge_length_total_road,entropy_road,intersection_count_road,intersection_density_km_road,k_avg_road,length_road,linearity_mean_road,linearity_median_road,m_road,n_road,node_density_km_road,self_loop_proportion_road,street_density_km_road,street_length_avg_road,street_length_total_road,street_segment_count_road,streets_per_node_avg_road
"Leeds, United Kingdom",159,0.020841525756979944,23,0.003014811901953074,4744,0.6218377244724079,2573,0.33726569668370693,115,0.01507405950976537,14,0.0018351028968410013,1,0.00013107877834578582,,,1.0531140955591207,646.0,13590128313759.584,74.97717789658749,1023738.3870000056,3.573714514642405,7470,99164258948.30057,3.5794992790667193,102.37383870000001,0.9656078655748409,0.9987678293468878,13654,7629,101274984138.7664,0.00013596193065941537,7134022070353.877,73.06631461590779,537402.7440000018,7355,3.328745576091231,10075,0.3241113077046807,167,0.005372366092970886,19206,0.6178542705484961,1574,0.050635354672671704,59,0.0018980215538040857,4,0.00012867942737654817,,,,,1.0597330449320843,1.0,79822859411539.05,86.12175425379692,6013020.882000101,3.5763785971271425,21010,278907775167.84406,4.492198809715297,601.3020882,0.9658103734227547,0.9998877118654854,69820,31085,412653412236.66974,0.0031891515248968216,43292150591510.29,87.39825958085396,3261178.657999985,37314,2.4012224545600773
"Lincoln, United Kingdom",4,0.005649717514124294,0,0.0,376,0.5310734463276836,326,0.4604519774011299,2,0.002824858757062147,,,,,,,1.0239159247322671,28.0,20964677767188.42,72.2523285509325,100719.74599999991,3.5068658004700883,704,146536639876.95782,3.937853107344633,10.0719746,0.97839022994931,0.9997865675415125,1394,708,147369234421.71326,0.0,10560054507293.498,71.3547665260196,50733.238999999936,711,3.4548022598870056,1349,0.3676751158353775,21,0.005723630417007359,2177,0.5933496865630962,115,0.03134369037884982,7,0.0019078768056691197,,,,,,,1.0673002292280898,1.0,119484566573107.11,72.67183542220532,574034.8279999999,3.5626737381182236,2320,482904835958.1565,4.305805396565821,57.4034828,0.9660992425790113,0.9999997460599656,7899,3669,763697346176.9293,0.00667302192564347,63220691571917.05,72.38526906577704,303728.58900000044,4196,2.2940855819024257
"Lisbon, Portugal",56,0.018530774321641297,5,0.0016545334215751159,1439,0.4761747187293183,1456,0.4818001323626737,61,0.02018530774321641,5,0.0016545334215751159,,,,,1.055139279693947,175.0,39366993065073.05,63.874854617604704,354122.1940000005,3.544348955213066,2966,329723760355.4622,3.669093315684977,35.412219400000005,0.9669100870230725,0.9999476277848984,5544,3022,335949158393.1918,0.0003316749585406302,20977008291634.242,62.58599137645103,188696.76399999985,3015,3.488418266048974,1060,0.10467068233435371,204,0.020144169053026562,7256,0.7165004443566703,1532,0.15127875975116026,58,0.005727263750370297,17,0.0016786807544188801,,,,,1.067215951608976,1.0,204982689793683.75,88.85423486892827,1843903.0819999995,3.5600798024658844,9067,1007958643001.6777,4.0983509430236005,184.3903082,0.9607356898030399,0.9999334763493356,20752,10127,1125796534430.1301,0.004436974789915967,147103775083806.5,88.95856040336099,1323258.5859999948,14875,2.9382837957934234
"Liverpool, United Kingdom",24,0.01867704280155642,1,0.0007782101167315176,826,0.6428015564202335,413,0.32140077821011676,20,0.01556420233463035,1,0.0007782101167315176,,,,,1.035034627759263,167.0,9124166797519.832,74.45202078626293,164762.32199999987,3.5437500018175214,1261,69831343671.35538,3.4443579766536967,16.4762322,0.9644248464320447,0.9994934958319412,2213,1285,71160409688.89108,0.0,4678274614099.7,73.52421061792869,84479.31800000006,1149,3.316731517509728,4409,0.28469038548459996,46,0.0029702330987279655,9604,0.6201330147865952,1358,0.08768644669722994,64,0.004132498224317169,6,0.0003874217085297346,,,,,1.0521910869056392,1.0,151449037722300.7,77.29235745979693,2734835.483999995,3.5666997966830336,11078,613474722594.191,4.5693807709692,273.4835484,0.9704508366686703,0.9999999984712951,35383,15487,857635225565.6469,0.0034848562496797007,84390552061450.83,78.09702157536059,1523907.1820000112,19513,2.5247627042035257
"Lodz, Poland",157,0.014386511500045817,19,0.0017410427929991754,5552,0.5087510308806011,5004,0.45853569137725647,168,0.015394483643361129,11,0.001007972143315312,2,0.00018326766242096582,,,1.0159016919164257,274.0,20380045239665.66,33.46894416964204,778119.4830000078,3.4849714661576465,10756,281714789806.6981,4.260789883625034,77.8119483,0.9881495446116881,0.9999999999999997,23249,10913,285826840940.9164,0.0001697648756472286,10305621793026.96,33.398978949155435,393473.37100000016,11781,3.462567579950518,1098,0.15425681371171676,92,0.012924978926664794,4762,0.6690081483562799,1139,0.1600168586681652,23,0.0032312447316661984,3,0.0004214667041303737,1,0.00014048890137679124,,,1.0371805915379886,1.0,76411744135732.88,168.5112614220532,2917435.469000007,3.4968454951362826,6020,157672279159.197,4.864568699072773,291.74354690000007,0.9778272790152643,0.9999310687505907,17313,7118,186430445690.2266,0.0013899920571882446,42920658843929.19,162.70159432088894,1638730.4579999936,10072,2.8468670974992976
"London, United Kingdom",477,0.012296032789420772,1125,0.029000077333539556,25078,0.6464568349960045,11456,0.29531100971824814,581,0.014976928827365761,68,0.0017528935632717243,7,0.0001804449256309128,1,2.5777846518701826e-05,1.0453459243902867,4227.0,17590663387873.717,53.727486964383516,3624939.8179999916,3.5735784192187565,38316,185935185743.75705,3.4784110535405874,362.49398180000003,0.9663390808073592,0.9993885267513237,67469,38793,188249912844.7011,0.00013640331732867744,9208522681086.283,51.76824866324753,1897616.9230000016,36656,3.277782074085531,32260,0.2531963488238849,2126,0.01668615739614319,84813,0.6656646600372025,7962,0.062490679768622805,222,0.0017423927290422334,23,0.00018051816562149266,5,3.9243079482933185e-05,,,1.0604874546837098,1.0,139752756551764.23,96.6354491775628,28799103.292998914,3.5666004727746743,95151,461737103526.0525,4.678057624537913,2879.9103292999994,0.9625911363976023,0.9997813478745676,298018,127411,618284475174.805,0.00479743152896603,75716418992496.1,95.96720155362878,15603019.398999842,162587,2.5435951369975904
"Madrid, Spain",92,0.015558937933367156,11,0.0018603077963808556,2940,0.4972095383054287,2698,0.45628276678504986,141,0.023845763571790968,28,0.004735328936242178,2,0.00033823778116015557,1,0.00016911889058007779,1.072596755854311,255.0,13256612664753.385,74.07013930218352,851288.1109999951,3.560054015890964,5821,90647033976.40884,3.887366818873668,85.12881110000001,0.9619212486115754,0.9996900643857687,11493,5913,92079696255.36943,0.0013061224489795918,6984328522554.439,73.2255373061225,448506.4160000004,6125,3.4874006426517843,1967,0.06391343904341044,320,0.010397712503249286,21836,0.7095139069404731,6435,0.2090914998700286,203,0.006596048869248765,15,0.0004873927735898102,,,,,1.0492367790008483,1.0,94278388883992.17,99.19537774646561,6054191.490000036,3.560961808814061,28809,448625734723.64923,3.966272420067585,605.419149,0.9742950487339788,0.9999828454212772,61033,30776,479256677144.4697,0.0015171629053669638,74064388350233.52,100.219714415156,4756126.987000058,47457,3.0855211853392253
"Manchester, United Kingdom",43,0.017688194158782394,5,0.0020567667626491155,1616,0.6647470176881941,730,0.3002879473467709,30,0.012340600575894693,7,0.002879473467708762,,,,,1.0765109341104935,231.0,20221275754622.438,73.03131010613745,316517.69799999974,3.5705816482179067,2388,152561473835.9383,3.565610859728507,31.6517698,0.9663824109859418,0.9996173163517865,4334,2431,155308602552.41458,0.0,10451471453922.428,70.51457629310339,163593.81699999986,2320,3.296174413821473,4107,0.2779507309149973,67,0.004534380075798592,9160,0.6199242014076881,1395,0.09440985381700054,41,0.0027747698971304817,6,0.0004060638873849486,,,,,1.0529937603163346,1.0,170877052153204.6,76.59912867289111,2674688.3750000116,3.565113986562941,10669,681607355257.7997,4.726312939902544,267.4688375,0.9721507114754198,0.9999999992124156,34918,14776,943990091038.4524,0.00278372591006424,92093849060471.17,77.16905813704574,1441518.0060000145,18680,2.540741743367623
"Medellín, Colombia",19,0.0135424091233072,3,0.0021382751247327157,420,0.2993585174625802,934,0.6657163221667854,20,0.014255167498218105,7,0.004989308624376337,,,,,1.087250120551266,65.0,5905724582759.429,75.1068466334163,180707.0729999996,3.39125729717712,1384,45230785308.21574,3.429793300071276,18.0707073,0.9666065671437127,0.9999999999999998,2406,1403,45851728170.10598,0.0014566642388929353,3373144411757.6294,75.1737749453751,103213.59300000002,1373,3.6799714896650038,2734,0.15686499512307076,45,0.002581903723678926,11162,0.6404268747489816,3426,0.19656893682942223,58,0.0033277870216306157,3,0.0001721269149119284,,,,,1.1037093633179276,1.0,138750656879452.1,101.21778078436175,4245579.8150000535,3.5119039369086726,14695,480250281867.2184,4.813242297320557,424.5579815,0.9651383768416733,0.9999947598946572,41945,17429,569600691572.8989,0.00047759293162461197,81661956270925.05,99.44853414789543,2498743.8690000204,25126,2.8876585002008146
"Melbourne, Australia",1298,0.021801202593301757,74,0.0012429036917598845,36642,0.6154388793711579,21087,0.3541771641640633,393,0.006600826362995062,40,0.0006718398333837213,4,6.718398333837214e-05,,,1.0654701114705452,3109.0,9663342082673.033,73.94990540700984,8722982.942000067,3.432953827573036,58240,64518416078.18578,3.96244415331385,872.2982942,0.9727842655112637,0.9992251896539139,117958,59538,65956343689.268974,0.00026902059688944935,4867017329295.408,73.86966189155072,4393398.140999979,59475,3.3248177634451945,35753,0.17093530820755304,1491,0.007128479974756288,155489,0.7433938449328508,16126,0.07709850306701536,272,0.0013004336372459493,27,0.00012908716252073762,3,1.4343018057859735e-05,,,1.06049513376795,1.0,63483566714326.13,123.990873423226,57305853.89699975,3.288867425368913,173408,192101811388.83997,4.419351599963664,5730.585389700001,0.9718199508824623,0.9999513633227186,462178,209161,231709073237.11224,0.002135049759588505,35429308454367.17,111.75504446564456,31981611.6050003,286176,2.7311449075114385
"Mexico City, Mexico",68,0.02052520374283127,6,0.0018110473890733474,1017,0.3069725324479324,2163,0.6528825837609418,47,0.014186537881074554,10,0.003018412315122246,2,0.0006036824630244491,,,1.0534265985208804,153.0,3342390609301.9253,90.15080449390997,429298.1309999993,3.393226925034429,3245,25264627875.085636,2.8747358889224266,42.929813100000004,0.9750008153362606,1.0,4762,3313,25794056132.560467,0.0015220700152207,2168693833453.1506,84.79391080669716,278547.99700000015,3285,3.6498641714458193,26366,0.21057928071114235,190,0.0015174870414593434,71904,0.5742809906794348,26261,0.2097406694513885,408,0.0032586037521863793,77,0.0006149815904861549,1,7.986773902417596e-06,,,1.043612496537585,1.0,191574036345441.1,83.35598808225001,24605854.12199938,3.427207132521205,98841,769547329368.6716,4.715231576509301,2460.5854122,0.9789811383185031,1.0,295190,125207,974825350494.8682,0.0010071127336816264,116019648063309.14,85.27048993745548,14901615.009999907,174757,2.7954587203590853
"Milan, Italy",178,0.02608440797186401,124,0.01817116060961313,3189,0.46732121922626024,3219,0.47171746776084406,103,0.015093786635404454,10,0.0014654161781946073,0,0.0,1,0.00014654161781946072,1.054558822860961,452.0,30650867426413.77,54.092384939708325,641481.593000001,3.5578569543930225,6646,317554965160.0768,3.4756740914419697,64.1481593,0.974968887070196,0.9999987579135996,11859,6824,326060048488.16797,0.0008788633367511352,17150308832251.34,52.57550725062259,358932.9880000004,6827,3.436694021101993,717,0.05569364610843561,237,0.01840919683082181,9029,0.7013360260991145,2746,0.21329812024234893,135,0.01048625135932888,9,0.0006990834239552587,1,7.767593599502873e-05,,,1.0418040420110786,1.0,119687068222931.36,98.55175654089743,2504889.99599999,3.5524859554896047,12157,580878078761.8197,3.948578530371291,250.4889996,0.9775610741768591,0.9999188385701756,25417,12874,615137318909.2429,0.0019019970969517993,91397716499631.5,95.74211737324153,1912831.7629999926,19979,3.1068820879291597
"Milton Keynes, United Kingdom",56,0.007881773399014778,0,0.0,4114,0.5790288529204786,2874,0.4045038705137227,55,0.007741027445460943,6,0.000844475721323012,,,,,1.0485464522674974,97.0,74363564029870.8,70.91811142346084,1110010.280000009,3.5615997278407145,7049,472237755173.362,4.405911330049261,111.001028,0.971528198700784,0.9990686145204828,15652,7105,475989395730.8465,0.000638895987733197,37181782014935.07,70.91811142346022,555005.1399999997,7826,3.406755805770584,4961,0.3236982904867545,43,0.00280568967767193,9937,0.6483753099308365,384,0.025055461307581888,1,6.524859715516116e-05,,,,,,,1.0606880674536616,1.0,144740425850377.47,67.29518271297327,2160511.841000007,3.5598001290358106,10365,694388471041.5515,4.189612423332898,216.0511841,0.9624950652020302,0.9995146339136085,32105,15326,1026743628285.8485,0.004672383465259455,81674705811597.94,67.01529540457358,1219142.2540000025,18192,2.3749836878507113
"Moscow, Russia",54,0.009024064171122994,1,0.00016711229946524063,2731,0.45638368983957217,2990,0.49966577540106955,180,0.030080213903743314,25,0.004177807486631016,3,0.000501336898395722,,,1.0393276838117556,425.0,4954227864751.206,66.96696154905074,729738.9800000058,3.5604951798708813,5930,40259013213.15523,3.6420454545454546,72.97389800000002,0.9766110650897787,0.999968021103946,10897,5984,40625621427.91246,0.0008655011251514627,2572995416046.7607,65.60368166868602,378992.46899999917,5777,3.556149732620321,1057,0.06177312839693764,292,0.01706504587692128,12726,0.7437321021565075,2901,0.16954006194845422,120,0.00701303255215943,13,0.0007597451931506049,2,0.00011688387586932383,,,1.0545954507284307,1.0,54630209037362.51,225.6097416379271,8046822.654999946,3.577299835072197,16054,108991264439.1221,4.168897200631173,804.6822655000001,0.966957860642012,0.9998342201813589,35667,17111,116167280790.9442,0.000772021925422682,37754213972077.766,214.66272558480597,5561052.568999983,25906,3.0457015954649056
"New York City, USA",55,0.009049029285949325,12,0.0019743336623889436,3217,0.529285949325436,2605,0.42859493254359987,166,0.027311615663047056,21,0.0034550839091806516,2,0.0003290556103981573,,,1.0692450573220493,377.0,7105785757893.373,82.058158274022,922333.6990000074,3.551958760620791,6023,46402020945.55741,3.698585060875288,92.2333699,0.97317016572131,0.9999770630540266,11240,6078,46825748515.20803,0.0006664445184938354,3735473802894.409,80.78405914695101,484865.92299999995,6002,3.474827245804541,3721,0.06717091486749946,279,0.005036464726695068,26627,0.48066647411365443,24179,0.43647555780200736,537,0.009693840710520615,50,0.0009025922449274315,3,5.415553469564589e-05,,,1.0208721153819333,1.0,124935096017588.22,115.85039948134866,16216623.068999704,3.5355102861365593,51675,398111312030.82837,5.053758394107878,1621.6623069000002,0.989948045665346,0.9999999915131804,139979,55396,426778408152.10004,0.0008374207441081469,86290020520824.8,121.81184726315541,11200477.543999877,91949,3.3194093436349195
"Newcastle Upon Tyne, United Kingdom",35,0.020710059171597635,7,0.004142011834319527,1082,0.6402366863905326,547,0.32366863905325444,18,0.010650887573964497,0,0.0,1,0.000591715976331361,,,1.0354454633076384,151.0,14858182914001.428,77.06955163566391,240302.86200000008,3.542925227213899,1655,102330419696.25961,3.6899408284023667,24.0302862,0.9714893201716706,0.9998469743698224,3118,1690,104494507121.86026,0.0,7521592035130.261,75.88736868371795,121647.45199999987,1603,3.301775147928994,3049,0.3102676299989824,42,0.004273939147247379,6158,0.6266408873511753,566,0.057596418031952784,11,0.001119365014755266,1,0.00010176045588684237,,,,,1.062053346239535,1.0,117178485810701.89,84.5063427271918,1895139.242000003,3.544101670517347,6778,419090987734.8928,4.564159967436654,189.51392420000005,0.9640645065751346,0.9999984353147081,22426,9827,607613918039.3615,0.0030135610246107484,63464850320048.9,85.92192382387435,1026423.3020000029,11946,2.4353312302839116
"Norwich, United Kingdom",14,0.00955631399317406,0,0.0,921,0.6286689419795222,486,0.331740614334471,37,0.025255972696245733,6,0.004095563139931741,1,0.0006825938566552901,,,1.030487583622621,134.0,22641402208470.89,44.68831866519974,121865.04499999968,3.5556928778715267,1451,269582427056.84268,3.7228668941979524,12.186504500000002,0.9739093517582232,0.9997897711058095,2727,1465,272183498027.75638,0.0,11435731888702.488,43.90275606276753,61551.66400000008,1402,3.378156996587031,1586,0.3345285804682556,41,0.008647964564437883,2924,0.6167475216199114,180,0.03796667369753216,10,0.002109259649862898,,,,,,,1.0618374612639827,1.0,137929189765937.64,71.63159378618268,742389.8379999973,3.5656897216657466,3155,586169922373.7689,4.372073402235816,74.2389838,0.9666694083261483,0.9998138497046443,10364,4741,880834105221.5652,0.005371530886302597,72910484572619.33,70.26558084153973,392433.2689999994,5585,2.364480067496309
"Nottingham, United Kingdom",41,0.013411841674844618,5,0.0016355904481517827,1924,0.629375204448806,1056,0.34543670264965654,31,0.010140660778541054,,,,,,,1.0466650166089002,186.0,29235567532838.445,49.922103300838145,291894.53800000064,3.565905538931161,3016,302076470094.9648,3.8253189401373895,29.189453799999995,0.9701885492870316,0.9995380945150071,5847,3057,306182947307.7942,0.0006613756613756613,14942113436846.412,49.33381283068774,149185.44999999972,3024,3.3372587504088975,2918,0.3105246355219751,55,0.005852931786740449,5881,0.6258380334149196,528,0.05618814515270831,9,0.0009577524741938917,,,,,,,1.0575448513328682,1.0,163309655156608.75,77.78088260268031,1630520.6419999874,3.5696841782833877,6479,648923557607.8503,4.461636692561456,163.05206420000002,0.9715058096878318,0.9999320567953043,20963,9397,941184545584.3447,0.002986385595081247,87578433878190.78,76.80306982872183,874402.9499999981,11385,2.433116952218793
"Oslo, Norway",286,0.026831785345717233,5,0.00046908715639365793,7909,0.7420020639834881,2319,0.21756262313537855,121,0.011351909184726523,16,0.0015010789004597054,2,0.00018763486255746317,1,9.381743127873159e-05,1.0425313436932861,1072.0,12506766923757.707,48.318112038795896,966458.8769999954,3.580002810138195,10373,134235088928.8167,3.7530725208743783,96.6458877,0.9737922606221251,0.9992512837555854,20002,10659,137936162430.5656,0.0002969708968521085,6292572518057.254,48.13480182142149,486257.76799999987,10102,3.191856646965006,1379,0.1674356483729966,141,0.01711996114618747,5700,0.6920835356969403,987,0.11983972802331229,28,0.003399708596406022,1,0.00012141816415735794,,,,,1.1118637773136313,1.0,38778086297989.36,159.92804894059867,2996571.8529999973,3.577232301672791,6857,88735178326.89638,4.5500242836328315,299.6571853,0.9419720079518971,0.9959206685114228,18737,8236,106580564197.21722,0.008644778204680405,21905581832564.92,147.8127090464546,1692751.143999998,11452,2.7750121418164158
"Oxford, United Kingdom",35,0.020138089758342925,8,0.004602991944764097,1115,0.6415420023014959,557,0.3204833141542002,21,0.012082853855005753,2,0.0011507479861910242,,,,,1.027880861778083,185.0,31922613976640.812,59.34505226917082,189607.44200000077,3.5451331868671057,1703,286719819795.99243,3.676639815880322,18.9607442,0.9758355230454405,0.9999498054345537,3195,1738,292612476104.1896,0.0,16091105875713.875,59.17936470588237,95574.67400000003,1615,3.303222094361335,1138,0.32748201438848923,30,0.008633093525179856,2151,0.6189928057553957,155,0.04460431654676259,1,0.00028776978417266187,,,,,,,1.061561132191282,1.0,115198918870051.34,88.815560747664,684235.0800000035,3.555124227013189,2337,393461079778.76355,4.433956834532374,68.42350800000001,0.9633910034486262,0.9997099531188204,7704,3475,585056590599.5735,0.0050933786078098476,62159019264811.07,89.54632185301969,369199.48500000016,4123,2.38158273381295
"Paris, France",42,0.005818786367414797,38,0.005264616237184816,2645,0.3664449986145747,4146,0.5743973399833749,263,0.036436686062621224,69,0.009559434746467166,13,0.0018010529232474369,2,0.0002770850651149903,1.0146082816120219,331.0,45227153909909.234,51.1867720620454,584092.256,3.5568376458692557,7176,555648620784.845,3.1618176780271545,58.409225600000006,0.9883632443119159,0.9999999999999998,11411,7218,558900744819.539,0.0002756339581036384,28584293634528.406,50.875932194046335,369155.7640000002,7256,3.667636464394569,536,0.05557283566614826,158,0.01638154484188699,6449,0.6686365992742354,2311,0.23960601347848626,172,0.017833074131674443,18,0.0018662519440124418,1,0.00010368066355624676,,,1.0232759528089048,1.0,140467945162553.73,97.33300042923076,1814092.462000003,3.570822046868406,9109,705323757905.4004,3.8648004147226542,181.4092462,0.9859665488447886,0.999965691807004,18638,9645,746827055110.0656,0.0011255296610169492,115368389696527.75,98.6454465704448,1489940.8249999983,15104,3.153758424053914
"Reading, United Kingdom",6,0.0052585451358457495,2,0.0017528483786152498,756,0.6625766871165644,365,0.31989482909728306,11,0.009640666082383873,1,0.0008764241893076249,,,,,1.0466458053594654,84.0,23358755040187.816,57.90530725462293,122122.29299999977,3.523060749204987,1135,217095391179.83334,3.696757230499562,12.212229299999999,0.9699632447275829,0.9996944147372031,2109,1141,218243032014.2642,0.0017857142857142857,12411032885631.895,57.93421964285718,64886.326000000045,1120,3.329535495179667,1375,0.3125,26,0.005909090909090909,2831,0.6434090909090909,162,0.03681818181818182,5,0.0011363636363636363,1,0.00022727272727272727,,,,,1.062321959348641,1.0,149564389915062.56,82.48312837552734,781940.0569999992,3.5530326564584316,3025,578602254025.547,4.3090909090909095,78.1940057,0.9571655572934786,0.999273421692954,9480,4400,841603278582.6138,0.009493070058857035,81612523125660.75,81.01002088475389,426679.77999999875,5267,2.408863636363636
"Rome, Italy",218,0.049043869516310463,39,0.008773903262092238,2490,0.5601799775028121,1636,0.36805399325084365,55,0.012373453318335208,7,0.0015748031496062992,,,,,1.1148779063781176,433.0,4558255233296.21,75.11962455684254,635662.2630000015,3.5723240083839536,4227,30311292635.50923,3.8074240719910013,63.5662263,0.954023057972462,0.9997253658543193,8462,4445,31874543592.344105,0.0037105751391465678,2330966578042.26,75.38502527829304,325060.2289999996,4312,3.2906636670416196,7068,0.16403258372206364,539,0.012508993014458446,29143,0.6763443106129174,6084,0.1411961289424215,240,0.005569867019424911,12,0.00027849335097124555,,,,,1.0696841505904902,1.0,80525438048023.98,125.22734907943277,11229512.073999975,3.5781544916248778,36021,258302122551.14218,4.1622223769407505,1122.9512074000002,0.9655905629564088,0.9999797705293306,89673,43089,308985873757.14624,0.00326398733968547,51929654524251.54,119.37860484322961,7241744.926999995,60662,2.8128756759265707
"Roosendaal, Netherlands",5,0.0029568302779420462,1,0.0005913660555884093,802,0.4742755765819042,851,0.5032525133057363,32,0.018923713778829097,,,,,,,1.0234617044238454,57.0,27255253778145.113,58.92262378727996,163981.66200000013,3.5001820964856307,1686,280228638431.245,3.291543465405086,16.398166200000002,0.9859303723615774,0.9999999999999998,2783,1691,281059684215.442,0.0,16823134553237.143,58.00381260744992,101216.65300000012,1745,3.534594914251922,564,0.2180131426362582,31,0.01198299188248937,1749,0.6760726710475454,235,0.09083880943177426,7,0.002705836876691148,,,,,,,1.1044282388857332,1.0,110544278986841.95,109.48006403292183,665091.3890000001,3.461706541176873,2023,336241124286.1261,4.696559721685349,66.5091389,0.9448232499227563,0.9999926780710338,6075,2587,429983088743.5533,0.008208736440926415,62974494790942.97,111.07799355027825,378887.0359999991,3411,2.6494008504058755
"Rotterdam, Netherlands",28,0.0028670899037476962,17,0.0017407331558468154,4286,0.4388695474093795,5190,0.5314355928732337,215,0.022015154618062666,27,0.002764693835756707,3,0.00030718820397296744,,,1.0173823822311576,300.0,51773228728429.57,53.059297247929784,871445.8979999988,3.5619986615661636,9738,578541596804.2664,3.3635060413680113,87.1445898,0.9915656862420031,0.9999999993821429,16424,9766,580205096979.9205,0.0,30789899893985.69,50.899130622667556,518254.9480000011,10182,3.577513823469179,1475,0.1310412224591329,223,0.019811656005685855,7233,0.642590618336887,2249,0.1998045486851457,67,0.005952380952380952,9,0.0007995735607675906,,,,,1.0681126800206258,1.0,141993232760823.38,94.54595158036398,2390027.110000021,3.563274443757267,9781,581096257788.3066,4.491648898365316,239.002711,0.9626986540362453,0.9999868108552602,25279,11256,668727070612.9413,0.005951296532458857,94646078415058.55,96.74383937572085,1593080.8029999952,16467,2.932213930348259
"Salzburg, Austria",74,0.032229965156794424,3,0.0013066202090592336,1450,0.6315331010452961,726,0.3162020905923345,36,0.0156794425087108,5,0.0021777003484320556,1,0.00043554006968641115,1,0.00043554006968641115,1.034674673831723,206.0,33434851991738.977,61.00148056455344,263648.399,3.5373915732277013,2222,281785292106.5681,3.764808362369338,26.3648399,0.9798222977894332,0.9999754766846041,4322,2296,291169680772.58344,0.00045351473922902497,17043964866851.967,60.95197324263027,134399.10099999973,2205,3.292247386759582,618,0.21142661648990763,55,0.01881628463906945,1932,0.660964762230585,310,0.10605542251111871,8,0.0027369141293191925,,,,,,,1.0751172823543915,1.0,107681932702685.44,121.12967646219722,849119.0320000026,3.568389047491393,2305,292311025340.0718,4.796442011631885,84.91190320000001,0.9657763112951614,0.9990781009121439,7010,2923,370683352307.6051,0.001545993300695697,58489827255156.39,118.83994150992012,461217.813,3881,2.669859733150872
"San Francisco, USA",31,0.013213981244671782,4,0.0017050298380221654,1132,0.4825234441602728,1096,0.46717817561807334,71,0.030264279624893437,11,0.004688832054560955,1,0.00042625745950554135,,,1.0338659848312932,147.0,3960018896998.73,57.4085648279112,243527.1319999993,3.4144532844863194,2315,37644445082.0046,3.6163682864450126,24.3527132,0.9845600720022716,0.9999999930034302,4242,2346,38148539163.01633,0.0,2084793745181.6445,56.35491384615388,128207.42900000008,2275,3.5153452685421995,804,0.08319536423841059,106,0.010968543046357616,4253,0.4400869205298013,4299,0.4448468543046358,178,0.01841887417218543,22,0.0022764900662251655,2,0.00020695364238410596,,,1.0327814905311137,1.0,50570903095795.766,115.73129540041568,3109931.36999997,3.249947580901786,8860,144073340573.0284,5.561258278145695,310.99313700000005,0.9843168432491584,0.9999997099932756,26872,9664,157147264480.5583,0.0014362432871237666,30140878093486.46,115.74604814537324,1853557.215000007,16014,3.3119826158940397
"Sevilla, Spain",57,0.021541950113378686,10,0.003779289493575208,875,0.3306878306878307,1621,0.6126228269085412,77,0.0291005291005291,4,0.0015117157974300832,2,0.0007558578987150416,,,1.0605967425900773,63.0,29218732060149.746,77.49960774907767,420047.874000001,3.562065744774397,2589,180092084703.01056,4.096749811035525,42.004787400000005,0.965026869979194,0.9999118935143385,5420,2646,184057032106.66898,0.0010676156583629894,15079735600905.172,77.14802846975095,216785.96000000017,2810,3.631519274376417,817,0.08010589273458182,121,0.011863908226296696,7313,0.7170310814785763,1898,0.18609667614472006,44,0.0043141484459260715,6,0.0005882929698990097,,,,,1.0412696446508098,1.0,120262773445585.67,85.51689602809475,1728895.0869999917,3.560561824351443,9382,652616430546.0198,3.9645063241494265,172.8895087,0.9769570578443102,0.9999999962987356,20217,10199,709447343331.7902,0.0020772476468679,90238867760454.17,84.21110379746813,1297272.0539999965,15405,3.024414158250809
