place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike
"Glasgow City, United Kingdom",35,0.011467889908256881,1,0.000327653997378768,2062,0.6756225425950196,893,0.29259501965923984,49,0.016055045871559634,11,0.0036041939711664484,1,0.000327653997378768,,,1.0689135522740882,311.0,18334489109863.49,81.72410570824535,463866.0240000006,3.559029868477543,3017,119248125067.3752,3.7195281782437744,46.3866024,0.9618958194470504,0.9990548902524322,5676,3052,120631513989.27051,0.0010179843909060061,9602516891145.525,82.4382368510351,242945.48400000043,2947,3.313564875491481
"Groningen, Netherlands",33,0.007735583684950774,6,0.0014064697609001407,2272,0.5325832161275199,1873,0.43905297702766055,71,0.016643225503984997,10,0.0023441162681669013,1,0.00023441162681669012,,,1.0247367737341135,178.0,34951278836901.723,58.62105405002989,393698.99900000077,3.450038999125685,4233,375791565872.39557,3.1486169714017813,39.3698999,0.9877854543553211,0.9999995212462118,6716,4266,378721195372.46387,0.0,21068464107315.305,55.35803079076264,237319.87799999944,4287,3.463431786216596
"Gurugram, India",0,0.0,0,0.0,29,0.5178571428571429,27,0.48214285714285715,,,,,,,,,1.0295240949094107,9.0,140392711424.03735,164.76063265306118,16146.541999999996,1.6923959975743539,56,486914897.30408496,3.5,1.6146542,0.9741320424947884,0.9999810326286064,98,56,486914897.30408496,0.0,70196355712.01869,164.7606326530612,8073.270999999999,49,3.482142857142857
"Hannover, Germany",130,0.010974168495694749,48,0.0040520006753334455,6315,0.5330913388485565,5148,0.43457707242951205,185,0.01561708593618099,18,0.0015195002532500423,2,0.00016883336147222692,,,1.0150208895976125,426.0,48751946505721.06,61.78324705826941,1312646.866999992,3.535140269289523,11716,435134398763.6482,3.587033597838933,131.26468670000003,0.9910790668311187,0.9999999999999999,21246,11846,439962622717.15405,0.0,27731285966634.3,61.01203440104586,746665.2769999992,12238,3.4450447408407903
"Harare, Zimbabwe",4,0.3076923076923077,0,0.0,3,0.23076923076923078,6,0.46153846153846156,,,,,,,,,1.0088721860572594,3.0,62973349604.35954,257.0657,5141.314,2.857102837442002,9,110236438.86353487,3.076923076923077,0.5141314,0.9883649813643368,0.9948590438554683,20,13,159230411.69177258,0.0,31486674802.17977,257.0657,2570.657,10,2.8461538461538463
"Houston, USA",268,0.049174311926605506,11,0.002018348623853211,3170,0.581651376146789,1939,0.35577981651376145,56,0.010275229357798165,4,0.0007339449541284404,2,0.0003669724770642202,,,1.0833264046555569,126.0,6301213944476.176,86.21695944572741,933298.5859999992,3.351098817674851,5182,34986542517.13992,3.9724770642201834,93.3298586,0.9699951279011185,0.9999999867805573,10825,5450,36795958455.88818,0.001525940996948118,3363169284412.5957,84.45791234316725,498132.76700000046,5898,3.279633027522936
"Hull, United Kingdom",33,0.03441084462982273,0,0.0,584,0.6089676746611054,337,0.35140771637122004,5,0.005213764337851929,,,,,,,1.0485072832947437,90.0,15361689739695.07,92.73168206521758,170626.29500000036,3.537372803934601,926,83368889296.67966,3.83733055265902,17.0626295,0.9622344874363913,0.9990473806950051,1840,959,86339918828.85074,0.0010857763300760044,7683321222962.575,92.66086102062964,85340.6529999999,921,3.2930135557872786
"Lancaster, United Kingdom",20,0.010746910263299301,2,0.0010746910263299302,1443,0.7753895754970446,379,0.20365394948952176,15,0.008060182697474477,2,0.0010746910263299302,,,,,1.0594739284008114,113.0,4323640594421.4375,111.32896531957584,388426.7600000001,3.566482530564331,1841,20492466415.882015,3.7495969908651263,38.842676000000004,0.9712583488927755,0.9990028601962251,3489,1861,20715089625.180027,0.0,2182989849855.3547,108.47080088495555,196115.20799999963,1808,3.200429876410532
"Leeds, United Kingdom",159,0.020841525756979944,23,0.003014811901953074,4744,0.6218377244724079,2573,0.33726569668370693,115,0.01507405950976537,14,0.0018351028968410013,1,0.00013107877834578582,,,1.0531140955591207,646.0,13590128313759.584,74.97717789658749,1023738.3870000056,3.573714514642405,7470,99164258948.30057,3.5794992790667193,102.37383870000001,0.9656078655748409,0.9987678293468878,13654,7629,101274984138.7664,0.00013596193065941537,7134022070353.877,73.06631461590779,537402.7440000018,7355,3.328745576091231
"Lincoln, United Kingdom",4,0.005649717514124294,0,0.0,376,0.5310734463276836,326,0.4604519774011299,2,0.002824858757062147,,,,,,,1.0239159247322671,28.0,20964677767188.42,72.2523285509325,100719.74599999991,3.5068658004700883,704,146536639876.95782,3.937853107344633,10.0719746,0.97839022994931,0.9997865675415125,1394,708,147369234421.71326,0.0,10560054507293.498,71.3547665260196,50733.238999999936,711,3.4548022598870056
